,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
719_6,0,10,13,13,16,21,14,21,10,13,14,13,9,16,6,13,7,18,19,14,12,47,17,14,19,7,7,29,10,2,12,17,20,34,15,19,12,2,6,26,18,16,15,13,13,10,9,7,9,4
1878_1,48,16,19,36,34,61,19,17,22,9,10,28,48,19,6,16,13,13,33,25,18,62,16,28,16,24,14,51,20,15,32,7,23,10,40,6,25,14,17,39,86,19,19,21,13,20,9,20,16,4
1182_5,29,23,18,5,9,13,11,12,11,9,30,21,16,9,8,15,15,16,14,22,9,4,33,9,11,13,2,14,17,44,22,14,10,19,22,17,7,11,10,12,28,2,15,9,14,8,9,17,10,41
1182_4,4,0,5,1,3,3,4,7,4,4,5,7,5,5,7,9,3,3,6,6,2,5,1,5,5,4,2,1,8,0,8,6,4,2,4,6,3,2,0,0,4,1,4,4,4,3,2,3,2,0
2014_1,0,1,2,0,1,2,1,0,4,2,3,2,4,1,4,3,0,4,2,2,1,1,3,0,1,8,1,0,5,2,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,9,1,3,1,0
646_6,8,1,2,0,0,3,0,0,0,0,1,3,0,0,3,0,1,0,0,1,0,7,0,1,1,0,6,0,0,1,0,3,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,2,0
1161_1,3,2,6,0,6,3,0,2,2,2,0,1,4,5,3,0,2,0,5,2,0,2,5,2,0,6,5,2,2,1,0,1,2,2,1,2,2,0,1,3,3,0,4,4,0,3,1,4,2,0
45_4,166,6,6,9,23,30,11,11,11,16,10,3,9,21,5,8,2,13,18,6,8,19,24,17,14,7,7,34,17,5,13,7,20,23,21,25,9,3,8,6,20,8,14,3,28,3,8,3,9,7
1537_3,5,7,2,8,18,29,2,5,13,6,5,1,3,1,3,2,4,3,8,0,14,27,3,0,1,2,2,22,3,2,6,3,7,8,20,2,2,1,0,13,10,9,2,5,3,5,1,5,5,3
1241_2,89,20,2,41,25,51,18,17,11,7,16,12,29,19,1,4,11,10,24,11,21,43,9,13,19,13,3,30,19,22,16,6,8,24,29,8,14,9,7,17,78,31,17,4,34,13,13,18,6,19
1417_8,22,13,7,7,5,66,11,11,5,3,7,8,9,5,4,8,7,14,8,6,6,40,11,14,15,6,3,28,10,8,11,6,8,30,7,17,5,3,5,7,49,9,4,9,26,3,7,10,8,2
1417_9,35,6,5,8,17,54,8,21,15,7,6,6,6,9,2,8,8,13,11,1,3,44,16,15,16,5,0,32,19,1,2,10,16,42,20,24,13,2,7,7,38,16,5,9,44,6,6,5,6,10
1417_4,19,4,6,13,35,71,13,13,9,8,5,2,12,11,4,6,2,12,14,9,6,50,14,12,8,5,3,23,12,8,6,5,10,13,10,13,9,3,6,2,50,15,12,14,11,6,11,8,16,7
1417_5,27,4,5,6,25,68,15,10,4,5,10,7,6,18,6,7,1,10,14,7,5,36,7,10,15,3,2,30,11,2,5,9,19,15,9,22,6,2,9,1,41,10,8,9,17,7,8,13,14,4
1417_6,23,7,3,11,31,83,15,15,7,13,12,8,10,14,8,13,1,12,6,7,7,46,14,10,7,6,1,31,11,5,12,9,12,28,7,14,6,3,4,0,51,14,6,12,24,5,13,10,7,1
1417_7,23,4,7,15,30,73,16,14,6,6,6,6,6,11,3,9,1,18,11,7,9,63,11,11,10,5,2,32,11,0,12,11,13,30,10,17,5,1,5,2,54,11,3,9,17,5,9,8,3,6
1417_1,23,7,2,11,36,71,14,23,4,11,5,5,8,18,2,3,1,9,13,8,14,49,12,17,13,5,1,35,14,6,11,3,17,9,10,13,10,0,3,2,55,11,12,11,9,8,8,5,5,2
1417_2,35,1,9,14,32,75,17,10,8,11,6,10,10,19,6,8,6,17,19,10,10,52,23,13,13,10,0,29,20,4,9,11,13,6,16,20,9,6,8,6,51,8,16,15,11,9,10,5,5,1
1417_3,24,3,4,15,33,67,10,11,7,12,5,5,6,11,6,10,3,20,17,7,7,47,18,15,10,6,0,36,14,6,6,13,11,6,16,21,10,4,2,6,55,16,12,10,10,7,7,6,10,0
615_7,26,16,2,7,13,22,2,3,11,8,33,8,11,6,3,5,10,6,14,6,5,41,9,4,2,12,5,18,13,22,14,7,7,3,15,10,6,6,4,7,39,44,11,7,2,12,4,15,2,0
1320_1,4,10,15,2,8,1,11,3,14,18,4,18,19,26,5,2,9,5,31,12,3,15,6,10,7,27,15,13,28,2,10,4,13,4,15,1,13,12,20,0,5,1,17,3,8,21,14,5,10,3
1491_7,5,2,5,6,10,14,7,1,10,17,2,5,8,11,8,3,1,5,7,6,15,15,5,7,9,8,7,16,4,4,12,2,10,6,8,1,3,2,7,2,2,5,19,9,17,6,4,1,13,3
1320_3,0,0,1,4,5,1,0,1,6,3,1,4,1,7,1,2,7,2,3,5,2,1,3,1,2,3,9,3,2,0,1,1,2,0,2,1,1,5,6,3,0,3,5,2,0,6,3,1,2,0
